iReady_Admin,Subject,Student ID,Student Grade,Academic Year,Enrolled,Sex,Hispanic or Latino,Race,English Language Learner,Special Education,Economically Disadvantaged,Migrant,Class(es),Class Teacher(s),Report Group(s),Start Date,Completion Date,Baseline Diagnostic (Y/N),Most Recent Diagnostic (Y/N),Duration (min),Rush Flag,Overall Scale Score,Overall Placement,Overall Relative Placement,Percentile,Grouping,Lexile Measure,Lexile Range,Phonological Awareness Scale Score,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Scale Score,Phonics Placement,Phonics Relative Placement,High-Frequency Words Scale Score,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Scale Score,Vocabulary Placement,Vocabulary Relative Placement,Reading Comprehension: Overall Scale Score,Reading Comprehension: Overall Placement,Reading Comprehension: Overall Relative Placement,Reading Comprehension: Literature Scale Score,Reading Comprehension: Literature Placement,Reading Comprehension: Literature Relative Placement,Reading Comprehension: Informational Text Scale Score,Reading Comprehension: Informational Text Placement,Reading Comprehension: Informational Text Relative Placement,Diagnostic Gain,Annual Typical Growth Measure,Annual Stretch Growth Measure,Percent Progress to Annual Typical Growth (%),Percent Progress to Annual Stretch Growth (%),Mid On Grade Level Scale Score,Reading Difficulty Indicator (Y/N)
iReady 4,ELA,4142023,3,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,ESL Grades 3-5 - Desai - Period 7-632b40559874d355ad07947a; Homeroom 3 - Acevedo - Homeroom IS-62c47c737082816f437258d9; Mathematics 3 - Swaby - Period 3-62f2b003e760951681540017; Reading 3 - Acevedo - Period 7-62f2b003e76095168154000a; Science 3 - Jones - Period 14-62f2b003e760951681540000; Small Group Instruction/What I Need 3 - Jones - Period 5-62f6a39a9d2533345d748d8a,"Acevedo, Tiffany; Desai, Laura; Jones, Cierra; Swaby, Chisoney",All IS Reading; IS ESL,06/06/2023,06/07/2023,N,Y,76,,462,Level 1,2 Grade Levels Below,12,1,385L,285L-435L,,Tested Out,Mid or Above Grade Level,461,Level 1,2 Grade Levels Below,,Tested Out,Mid or Above Grade Level,450,Level 1,2 Grade Levels Below,468,Level 1,2 Grade Levels Below,462,Level 1,2 Grade Levels Below,474,Level 1,2 Grade Levels Below,20,33,63,61,32,545,Y
iReady 4,ELA,2442018,4,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 4 - Bembry - Homeroom IS-62c47c737082816f437258dc; Mathematics 4 - Turner - Period 7-62f2b003e76095168154001b; Reading 4 - Bembry - Period 5-62f2b003e76095168154000b; Science 4 - Bembry - Period 14-62f2b003e760951681540001; Small Group Instruction/What I Need 4 - Bembry - Period 11-62f6a39a9d2533345d748d8e,"Bembry, Denise; Moore, Andrea; Turner, Inayah",4th Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,109,,579,Mid 4,Mid or Above Grade Level,68,5,920L,820L-970L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,572,Early 4,Early On Grade Level,582,Mid 4,Mid or Above Grade Level,580,Mid 4,Mid or Above Grade Level,584,Mid 4,Mid or Above Grade Level,35,20,36,175,97,579,Not Provided
iReady 4,ELA,1012023,K,2022-2023,Enrolled,male,N,Black or African American,,,,,Homeroom K - Alagona - Homeroom PS-62c47c737082816f437258df; Mathematics K - Alagona - Period 10-62f693766c6b433381175d30; Reading K - Alagona - Period 5-62fa4e36c252017f1f56294a; Science K - Alagona - Period 11-62fbb3244ef1494353591b4c; Small Group Instruction/What I Need K - Alagona - Period 13-62fa51d02d6f160d77727e56; Small Group Instruction/What I Need K - Alagona - Period 3-62fa54b7c9b8187c0f2bf89e; Structured Play K - Gonzalez Giraldo - Period 14-62f693766c6b433381175d2c,"Alagona, Brooke; Bang, Julie; Brady, Jacquelyn; Gonzalez Giraldo, Isabella",All PS Reading; Kindergarten Reading; Primary School,06/06/2023,06/06/2023,N,Y,30,,423,Mid K,Mid or Above Grade Level,79,5,BR65L,BR165L-BR15L,431,Level 1,Mid or Above Grade Level,451,Level 1,Mid or Above Grade Level,423,Level 1,Mid or Above Grade Level,420,Mid / Late K,Mid or Above Grade Level,406,Mid / Late K,Mid or Above Grade Level,381,Early K,Early On Grade Level,430,Mid / Late K,Mid or Above Grade Level,51,44,65,116,78,396,N
iReady 4,ELA,1022020,2,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 2 - Wright - Homeroom PS-62c47c737082816f437258e4; Mathematics 2 - Wright - Period 3-62f693c16b50b95cca1b4ff8; Reading 2 - Zalot - Period 11-63110007911a1d042171476f; Science 2 - Del Rosario - Period 14-62fa506e8914f13d8a6cb7f6; Small Group Instruction/What I Need 2 - Wright - Period 5-631f57e4f5ecb5046708bbd9; Small Group Instruction/What I Need 2 - Wright - Period 6-631f45b566fd4f2b0a0a2eb1; Structured Play 2 - Gonzalez Giraldo - Period 4-62f693c16b50b95cca1b4ff5,"Brady, Jacquelyn; Cesar-Joisil, Daphnir; Del Rosario, Gina; Gonzalez Giraldo, Isabella; Wright, Ryan; Zalot, Amy",2A; 2nd Grade Reading; All PS Reading; Primary School,06/06/2023,06/06/2023,N,Y,99,,516,Mid 2,Mid or Above Grade Level,59,3,630L,530L-680L,,Tested Out,Mid or Above Grade Level,557,Max Score,Mid or Above Grade Level,534,Max Score,Mid or Above Grade Level,473,Level 1,1 Grade Level Below,505,Early 2,Early On Grade Level,520,Mid 2,Mid or Above Grade Level,488,Level 1,1 Grade Level Below,41,39,53,105,77,513,N
iReady 4,ELA,1182018,4,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,ESL Grades 3-5 - Desai - Period 11-632b3f11ad14b20ec03ad9d5; Homeroom 4 - Lynch - Homeroom IS-62c47c737082816f437258de; Mathematics 4 - Turner - Period 13-62f2b003e76095168154001c; Reading 4 - Lynch - Period 7-62f2b003e760951681540007; Science 4 - Lynch - Period 3-62f2b003e76095168153fffb; Small Group Instruction/What I Need 4 - Lynch - Period 11-62f6a39a9d2533345d748d8d,"Desai, Laura; Lynch, Ashley; Moore, Andrea; Turner, Inayah",4th Grade Reading; All IS Reading; Catapult Tutoring with Added Students; IS ESL,06/06/2023,06/06/2023,N,Y,64,,524,Level 3,1 Grade Level Below,27,3,670L,570L-720L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,500,Level 3,1 Grade Level Below,537,Level 3,1 Grade Level Below,559,Early 4,Early On Grade Level,519,Level 3,1 Grade Level Below,2,20,36,10,6,579,Not Provided
iReady 4,ELA,1022017,5,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,Homeroom 5 - Yentema - Homeroom IS-62c47c737082816f437258d6; Mathematics 5 - Crowell - Period 8-62f2b003e760951681540015; Reading 5 - Yentema - Period 11-62f2b003e760951681540004; Science 5 - Yentema - Period 7-62f2b003e76095168153fff9; Small Group Instruction/What I Need 5 - Yentema - Period 5-62f6a39a9d2533345d748d90,"Crowell, Siani; Moore, Andrea; Yentema, Jessica",5th Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,59,,560,Level 4,1 Grade Level Below,35,3,830L,730L-880L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,558,Level 4,1 Grade Level Below,561,Level 4,1 Grade Level Below,557,Level 4,1 Grade Level Below,565,Level 4,1 Grade Level Below,32,20,47,160,68,609,Not Provided
iReady 4,ELA,1032017,5,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,ESL Grades 3-5 - Desai - Period 9-632b41a7ff6b9b607821f1b8; Homeroom 5 - Dupree - Homeroom IS-62c47c737082816f437258d7; Mathematics 5 - Crowell - Period 3-62f2b003e760951681540016; Reading 5 - Dupree - Period 8-62f2b003e76095168154000d; Science 5 - Dupree - Period 11-62f2b003e76095168153fffa; Small Group Instruction/What I Need 5 - Dupree - Period 5-62f6a39a9d2533345d748d8f,"Crowell, Siani; Desai, Laura; Dupree, David; Moore, Andrea",5th Grade Reading; All IS Reading; IS ESL,06/06/2023,06/06/2023,N,Y,65,Yellow Rush Flag,554,Level 4,1 Grade Level Below,31,4,805L,705L-855L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,591,Early 5,Early On Grade Level,532,Level 3,2 Grade Levels Below,541,Level 4,1 Grade Level Below,524,Level 3,2 Grade Levels Below,38,20,47,190,81,609,Not Provided
iReady 4,ELA,1012019,3,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,ESL Grades 3-5 - Desai - Period 13-632b4135f5f1d138d339708f; Homeroom 3 - Stadler - Homeroom IS-62c47c737082816f437258db; Mathematics 3 - Swaby - Period 7-62f2b003e760951681540018; Reading 3 - Stadler - Period 14-62f2b003e760951681540008; Science 3 - Stadler - Period 3-62f2b003e760951681540002; Small Group Instruction/What I Need 3 - Stadler - Period 5-62f6a39a9d2533345d748d8b,"Desai, Laura; Stadler, Haley; Swaby, Chisoney",3rd Grade Reading; All IS Reading; IS ESL,06/06/2023,06/06/2023,N,Y,45,,405,Level K,3 or More Grade Levels Below,3,1,130L,30L-180L,,Tested Out,Mid or Above Grade Level,444,Level 1,2 Grade Levels Below,,Tested Out,Mid or Above Grade Level,405,Level K,3 or More Grade Levels Below,393,Level K,3 or More Grade Levels Below,391,Level K,3 or More Grade Levels Below,396,Level K,3 or More Grade Levels Below,0,36,79,0,0,545,Y
iReady 4,ELA,1192018,4,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,ESL Grades 3-5 - Desai - Period 11-632b3f11ad14b20ec03ad9d5; Homeroom 4 - Lynch - Homeroom IS-62c47c737082816f437258de; Mathematics 4 - Turner - Period 13-62f2b003e76095168154001c; Reading 4 - Lynch - Period 7-62f2b003e760951681540007; Science 4 - Lynch - Period 3-62f2b003e76095168153fffb; Small Group Instruction/What I Need 4 - Lynch - Period 11-62f6a39a9d2533345d748d8d,"Desai, Laura; Lynch, Ashley; Moore, Andrea; Turner, Inayah",4th Grade Reading; All IS Reading; IS ESL,06/06/2023,06/07/2023,N,Y,113,,497,Level 3,1 Grade Level Below,15,3,545L,445L-595L,,Tested Out,Mid or Above Grade Level,551,Max Score,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,489,Level 2,2 Grade Levels Below,485,Level 2,2 Grade Levels Below,504,Level 3,1 Grade Level Below,465,Level 1,3 or More Grade Levels Below,12,23,50,52,24,579,Not Provided
iReady 4,ELA,32352022,4,2022-2023,Enrolled,male,N,American Indian or Alaska Native,,,,,Homeroom 4 - Bembry - Homeroom IS-62c47c737082816f437258dc; Mathematics 4 - Turner - Period 7-62f2b003e76095168154001b; Reading 4 - Bembry - Period 5-62f2b003e76095168154000b; Science 4 - Bembry - Period 14-62f2b003e760951681540001; Small Group Instruction/What I Need 4 - Bembry - Period 11-62f6a39a9d2533345d748d8e,"Bembry, Denise; Moore, Andrea; Turner, Inayah",All IS Reading,06/06/2023,06/06/2023,N,Y,30,,457,Level 1,3 or More Grade Levels Below,6,1,365L,265L-415L,,Tested Out,Mid or Above Grade Level,460,Level 1,3 or More Grade Levels Below,,Tested Out,Mid or Above Grade Level,487,Level 2,2 Grade Levels Below,441,Level 1,3 or More Grade Levels Below,441,Level 1,3 or More Grade Levels Below,441,Level 1,3 or More Grade Levels Below,0,28,62,0,0,579,Not Provided
iReady 4,ELA,1022023,K,2022-2023,Enrolled,female,N,American Indian or Alaska Native,,,,,Homeroom K - Eugene - Homeroom PS-62c47c737082816f437258e1; Mathematics K - Eugene - Period 14-62f693766c6b433381175d31; Reading K - Eugene - Period 5-62fa4e36c252017f1f56294b; Science K - Eugene - Period 10-62fbb3244ef1494353591b4e; Small Group Instruction/What I Need K - Eugene - Period 13-62fa51354736b34e5e7da824; Small Group Instruction/What I Need K - Eugene - Period 3-62fa5465035865068d0f3f81; Structured Play K - Gonzalez Giraldo - Period 11-62f693766c6b433381175d2d,"Brady, Jacquelyn; Eugene, Christina; Gonzalez Giraldo, Isabella; Mason, Sesheni",All PS Reading; Kindergarten Reading; Primary School,06/06/2023,06/06/2023,N,Y,36,,401,Mid K,Mid or Above Grade Level,50,5,BR205L,BR305L-BR155L,386,Early / Mid K,Early On Grade Level,427,Late K,Mid or Above Grade Level,412,Late K,Mid or Above Grade Level,393,Early K,Early On Grade Level,396,Mid / Late K,Mid or Above Grade Level,422,Mid / Late K,Mid or Above Grade Level,365,Early K,Early On Grade Level,64,49,67,131,96,396,N
iReady 4,ELA,1042017,5,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 5 - Nance - Homeroom IS-62c47c737082816f437258d8; Mathematics 5 - Crowell - Period 11-62f2b003e760951681540019; Reading 5 - Nance - Period 3-62f2b003e760951681540003; Science 5 - Nance - Period 8-62f2b003e76095168153fffc; Small Group Instruction/What I Need 5 - Nance - Period 5-62f6a39a9d2533345d748d91,"Alfonse, Emily; Crowell, Siani; Lewis, Bridget; Moore, Andrea; Nance, Shanae",5th Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,55,,525,Level 3,2 Grade Levels Below,17,3,670L,570L-720L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,531,Level 3,2 Grade Levels Below,522,Level 3,2 Grade Levels Below,554,Level 4,1 Grade Level Below,487,Level 2,3 or More Grade Levels Below,58,26,61,223,95,609,Not Provided
iReady 4,ELA,32352028,8,2022-2023,Enrolled,male,N,Native Hawaiian or Other Pacific Islander,,,,,"Current Events 8 - Joyner - Period 3-639232737ef25c47d65fbeb4; ELA 8 - Fergusson - Period 11-6306414edec4186a935552a1; Homeroom 8 - Henry - Homeroom MS-62c47c737082816f437258ce; Mathematics 8 - Nelson - Period 7-6307bc3276048d5eab5c5f18; Music 8 - Villamil Gomez - Period 14-63065c114d1c76105a6c2ef6; Science 8 - Davis - Period 3-63064681dbb9dd4f943007a6; Social Studies, History, and Geography 8 - Henry - Period 5-63065a5c19a57649536a7385","Davis, Georgette; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",8th Grade Reading; All MS Students; MS Tier 2 iReady 2 ELA,06/06/2023,06/06/2023,N,Y,123,,587,Level 6,2 Grade Levels Below,28,3,955L,855L - 1005L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,602,Level 7,1 Grade Level Below,578,Level 5,3 or More Grade Levels Below,571,Level 5,3 or More Grade Levels Below,585,Level 6,2 Grade Levels Below,0,9,25,0,0,642,Not Provided
